高管姓名,性别,年龄,股票代码,职位,:LABEL,PersonId:ID
杜玉岱,男,58,601058,"董事长,董事",人,1000000
延万华,男,45,601058,"副董事长,董事",人,1000001
宋军,男,48,601058,董事,人,1000002
周天明,男,50,601058,董事,人,1000003
王建业,男,47,601058,董事,人,1000004
张必书,男,49,601058,董事,人,1000005
丁乃秀,女,43,601058,独立董事,人,1000006
谢岭,男,47,601058,独立董事,人,1000007
刘树国,男,39,601058,独立董事,人,1000008
程仁策,男,55,600219,"董事长,董事",人,1000009
宋昌明,男,38,600219,董事,人,1000010
吕正风,男,53,600219,董事,人,1000011
刘强,男,50,600219,董事,人,1000012
刘春雷,男,41,600219,董事,人,1000013
宋建波,男,48,600219,董事,人,1000014
刘嘉厚,男,64,600219,独立董事,人,1000015
张焕平,男,60,600219,独立董事,人,1000016
黄利群,女,52,600219,独立董事,人,1000017
朱红玉,女,57,300345,"董事长,董事",人,1000018
朱明楚,男,,300345,董事,人,1000019
罗德福,男,53,300345,董事,人,1000020
曾江洪,男,50,300345,独立董事,人,1000021
陈爱文,男,55,300345,独立董事,人,1000022
熊政平,男,55,300345,独立董事,人,1000023
汲广林,男,44,600649,"董事长,董事",人,1000024
陈帅,男,44,600649,"副董事长,董事",人,1000025
金建敏,男,59,600649,董事,人,1000026
苏凯,男,41,600649,董事,人,1000027
孙昌宇,男,48,600649,董事,人,1000028
全卓伟,女,46,600649,董事,人,1000029
盛雷鸣,男,48,600649,独立董事,人,1000030
薛涛,男,45,600649,独立董事,人,1000031
严杰,男,53,600649,独立董事,人,1000032
雷菊芳,女,65,002287,"董事长,董事",人,1000033
刘凯列,男,54,002287,董事,人,1000034
索朗欧珠,男,53,002287,董事,人,1000035
骆燮龙,男,66,002287,董事,人,1000036
杜守颖,女,58,002287,独立董事,人,1000037
李春瑜,男,45,002287,独立董事,人,1000038
吴清功,男,53,002287,独立董事,人,1000039
李成刚,男,55,002268,"董事长,董事",人,1000040
许晓平,男,52,002268,"副董事长,董事",人,1000041
