股票代码:ID,股票名称,:LABEL
000001,平安银行,股票
000002,万科A,股票
000004,国农科技,股票
000005,世纪星源,股票
000006,深振业A,股票
000007,全新好,股票
000008,神州高铁,股票
000009,中国宝安,股票
000010,*ST美丽,股票
000011,深物业A,股票
000012,南玻A,股票
000014,沙河股份,股票
000016,深康佳A,股票
000017,深中华A,股票
000018,*ST神城,股票
000019,深粮控股,股票
000020,深华发A,股票
000021,深科技,股票
000023,深天地A,股票
000025,特力A,股票
000026,飞亚达A,股票
000027,深圳能源,股票
000028,国药一致,股票
000029,深深房A,股票
000030,富奥股份,股票
000031,大悦城,股票
000032,深桑达A,股票
000034,神州数码,股票
000035,中国天楹,股票
000036,华联控股,股票
000037,深南电A,股票
000038,深大通,股票
000039,中集集团,股票
000040,东旭蓝天,股票
000042,中洲控股,股票
000043,中航善达,股票
000045,深纺织A,股票
000046,泛海控股,股票
000048,*ST康达,股票
000049,德赛电池,股票
000050,深天马A,股票
000055,方大集团,股票
000056,皇庭国际,股票
000058,深赛格,股票
000059,华锦股份,股票
000060,中金岭南,股票
000061,农产品,股票
000062,深圳华强,股票
000063,中兴通讯,股票
000065,北方国际,股票
000066,中国长城,股票
000068,华控赛格,股票
000069,华侨城A,股票
000070,特发信息,股票
000078,海王生物,股票
000088,盐田港,股票
000089,深圳机场,股票
000090,天健集团,股票
000096,广聚能源,股票
000099,中信海直,股票
000100,TCL集团,股票
000150,宜华健康,股票
000151,中成股份,股票
000153,丰原药业,股票
000155,川能动力,股票
000156,华数传媒,股票
000157,中联重科,股票
000158,常山北明,股票
000159,国际实业,股票
000166,申万宏源,股票
000301,东方盛虹,股票
000333,美的集团,股票
000338,潍柴动力,股票
000400,许继电气,股票
000401,冀东水泥,股票
000402,金融街,股票
000403,振兴生化,股票
000404,长虹华意,股票
000407,胜利股份,股票
000408,藏格控股,股票
000409,*ST地矿,股票
000410,沈阳机床,股票
000411,英特集团,股票
000413,东旭光电,股票
000415,渤海租赁,股票
000416,民生控股,股票
000417,合肥百货,股票
000418,小天鹅A,股票
000419,通程控股,股票
000420,吉林化纤,股票
000421,南京公用,股票
000422,ST宜化,股票
000423,东阿阿胶,股票
000425,徐工机械,股票
000426,兴业矿业,股票
000428,华天酒店,股票
000429,粤高速A,股票
000430,张家界,股票
000488,晨鸣纸业,股票
000498,山东路桥,股票
000501,鄂武商A,股票
000502,绿景控股,股票
000503,国新健康,股票
000504,*ST生物,股票
000505,京粮控股,股票
000506,中润资源,股票
000507,珠海港,股票
000509,华塑控股,股票
000510,金路集团,股票
000513,丽珠集团,股票
000514,渝开发,股票
000516,国际医学,股票
000517,荣安地产,股票
000518,四环生物,股票
000519,中兵红箭,股票
000520,长航凤凰,股票
000521,长虹美菱,股票
000523,广州浪奇,股票
000524,岭南控股,股票
000525,红太阳,股票
000526,紫光学大,股票
000528,柳工,股票
000529,广弘控股,股票
000530,大冷股份,股票
000531,穗恒运A,股票
000532,华金资本,股票
000533,顺钠股份,股票
000534,万泽股份,股票
000536,华映科技,股票
000537,广宇发展,股票
000538,云南白药,股票
000539,粤电力A,股票
000540,中天金融,股票
000541,佛山照明,股票
000543,皖能电力,股票
000544,中原环保,股票
000545,金浦钛业,股票
000546,金圆股份,股票
000547,航天发展,股票
000548,湖南投资,股票
000550,江铃汽车,股票
000551,创元科技,股票
000552,靖远煤电,股票
000553,安道麦A,股票
000554,泰山石油,股票
000555,神州信息,股票
000557,西部创业,股票
000558,莱茵体育,股票
000559,万向钱潮,股票
000560,我爱我家,股票
000561,烽火电子,股票
000563,陕国投A,股票
000564,供销大集,股票
000565,渝三峡A,股票
000566,海南海药,股票
000567,海德股份,股票
000568,泸州老窖,股票
