行业名称,Industry:ID,:LABEL
综合行业,100000000,行业
公路桥梁,100000001,行业
化纤行业,100000002,行业
机械行业,100000003,行业
生物制药,100000004,行业
石油行业,100000005,行业
玻璃行业,100000006,行业
仪器仪表,100000007,行业
交通运输,100000008,行业
飞机制造,100000009,行业
农林牧渔,100000010,行业
建筑建材,100000011,行业
塑料制品,100000012,行业
商业百货,100000013,行业
纺织行业,100000014,行业
医疗器械,100000015,行业
有色金属,100000016,行业
供水供气,100000017,行业
发电设备,100000018,行业
造纸行业,100000019,行业
船舶制造,100000020,行业
煤炭行业,100000021,行业
食品行业,100000022,行业
陶瓷行业,100000023,行业
纺织机械,100000024,行业
钢铁行业,100000025,行业
环保行业,100000026,行业
酿酒行业,100000027,行业
次新股,100000028,行业
电器行业,100000029,行业
传媒娱乐,100000030,行业
化工行业,100000031,行业
房地产,100000032,行业
金融行业,100000033,行业
其它行业,100000034,行业
开发区,100000035,行业
电子信息,100000036,行业
服装鞋类,100000037,行业
电子器件,100000038,行业
电力行业,100000039,行业
汽车制造,100000040,行业
家具行业,100000041,行业
农药化肥,100000042,行业
酒店旅游,100000043,行业
水泥行业,100000044,行业
物资外贸,100000045,行业
摩托车,100000046,行业
印刷包装,100000047,行业
家电行业,100000048,行业
